HTTrack3.49-2+htsswf+htsjava launched on Fri, 08 Jul 2022 11:44:03 at http://103.139.171.5:5001/livetv.php +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qYC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -Y http://103.139.171.5:5001/livetv.php -O1 "C:\My Web Sites\new" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:02:22	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=QYOUHD&q=800&e=junk.m3u8
12:02:26	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=HBO_HD&q=1200&e=junk.m3u8
12:02:49	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=RDX_News&q=800&e=junk.m3u8
12:03:21	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Peppers_TV&q=800&e=junk.m3u8
12:04:06	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Lotus_News&q=800&e=junk.m3u8
12:04:54	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Saileela_TV_Telugu&q=800&e=junk.m3u8
12:05:21	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=ETV_Andhra_pradesh&q=800&e=junk.m3u8
12:05:45	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=TV1&q=800&e=junk.m3u8
12:08:41	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Nick_Gujarati&q=800&e=junk.m3u8
12:08:43	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Sonic_Gujarati&q=800&e=junk.m3u8
