date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:17	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:17%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Sandesh_News.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Sandesh_News.png	(from http://103.139.171.5:5001/play.php?c=Sandesh_News)
12:33:18	701/701	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:19%20GMT	http://103.139.171.5:5001/autoq.php?c=Sandesh_News	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq68f5.php	(from http://103.139.171.5:5001/play.php?c=Sandesh_News)
12:33:18	51422/51422	---M--	200	added ('OK')	text/plain	etag:%225dc53c8b-c8de%22	http://sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Kalinga_TV.png	C:/My%20Web%20Sites/new/sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Kalinga_TV.png	(from http://103.139.171.5:5001/play.php?c=Kalinga_TV)
12:33:19	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:19%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Janam_TV.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Janam_TV.ad6.delayed	(from http://103.139.171.5:5001/play.php?c=Janam_TV)
12:33:20	681/681	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:21%20GMT	http://103.139.171.5:5001/autoq.php?c=Janam_TV	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq6f2f.php	(from http://103.139.171.5:5001/play.php?c=Janam_TV)
12:33:20	37423/37423	---M--	200	added ('OK')	text/plain	etag:%225dc53c8a-922f%22	http://sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sandesh_News.png	C:/My%20Web%20Sites/new/sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sandesh_News.png	(from http://103.139.171.5:5001/play.php?c=Sandesh_News)
12:33:20	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:21%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/24_Ghanta_TV.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/24_Ghanta_TV.ad9.delayed	(from http://103.139.171.5:5001/play.php?c=24_Ghanta_TV)
12:33:21	25453/25453	---M--	200	added ('OK')	text/plain	etag:%225dc53c8a-636d%22	http://sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Janam_TV.png	C:/My%20Web%20Sites/new/sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Janam_TV.png	(from http://103.139.171.5:5001/play.php?c=Janam_TV)
12:33:21	701/701	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:22%20GMT	http://103.139.171.5:5001/autoq.php?c=24_Ghanta_TV	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq8b97.php	(from http://103.139.171.5:5001/play.php?c=24_Ghanta_TV)
12:33:21	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:22%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Asianet_Plus.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Asianet_Plus.png	(from http://103.139.171.5:5001/play.php?c=Asianet_Plus)
12:33:22	27234/27234	---M--	200	added ('OK')	text/plain	etag:%225def9100-6a62%22	http://sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/24_Ghanta_TV.png	C:/My%20Web%20Sites/new/sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/24_Ghanta_TV.png	(from http://103.139.171.5:5001/play.php?c=24_Ghanta_TV)
12:33:23	701/701	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:23%20GMT	http://103.139.171.5:5001/autoq.php?c=Asianet_Plus	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq41ff.php	(from http://103.139.171.5:5001/play.php?c=Asianet_Plus)
12:33:23	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:24%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/ETV_Cinema.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/ETV_Cinema.adf.delayed	(from http://103.139.171.5:5001/play.php?c=ETV_Cinema)
12:33:24	691/691	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:25%20GMT	http://103.139.171.5:5001/autoq.php?c=ETV_Cinema	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq45b3.php	(from http://103.139.171.5:5001/play.php?c=ETV_Cinema)
12:33:25	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:25%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Udaya_Movies.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Udaya_Movies.ae2.delayed	(from http://103.139.171.5:5001/play.php?c=Udaya_Movies)
12:33:25	52466/52466	---M--	200	added ('OK')	text/plain	etag:%225dc53c89-ccf2%22	http://sagraecdnems08.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Asianet_Plus.png	C:/My%20Web%20Sites/new/sagraecdnems08.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Asianet_Plus.png	(from http://103.139.171.5:5001/play.php?c=Asianet_Plus)
12:33:25	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:26%20GMT	http://sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Udaya_Movies.png	C:/My%20Web%20Sites/new/sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Udaya_Movies.ae3.delayed	(from http://103.139.171.5:5001/play.php?c=Udaya_Movies)
12:33:25	701/701	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:26%20GMT	http://103.139.171.5:5001/autoq.php?c=Udaya_Movies	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq43a7.php	(from http://103.139.171.5:5001/play.php?c=Udaya_Movies)
12:33:26	34897/34897	---M--	200	added ('OK')	text/plain	etag:%225dc53c84-8851%22	http://sagraecdnems07.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/ETV_Cinema.png	C:/My%20Web%20Sites/new/sagraecdnems07.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/ETV_Cinema.png	(from http://103.139.171.5:5001/play.php?c=ETV_Cinema)
12:33:26	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:27%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Kiran_TV.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Kiran_TV.ae5.delayed	(from http://103.139.171.5:5001/play.php?c=Kiran_TV)
12:33:26	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:27%20GMT	http://sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Kiran_TV.png	C:/My%20Web%20Sites/new/sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Kiran_TV.png	(from http://103.139.171.5:5001/play.php?c=Kiran_TV)
12:33:26	681/681	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:27%20GMT	http://103.139.171.5:5001/autoq.php?c=Kiran_TV	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq5728.php	(from http://103.139.171.5:5001/play.php?c=Kiran_TV)
12:33:27	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:28%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/K1_TV.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/K1_TV.png	(from http://103.139.171.5:5001/play.php?c=K1_TV)
